Country,Code,Region,Corruption Index Score,Rank,latitude,longitude
Afghanistan,AFG,AP,24,150,33.93911,67.709953
Albania,ALB,ECA,36,101,41.153332,20.168331
Algeria,DZA,MENA,33,116,28.033886,1.659626
Angola,AGO,SSA,33,116,-11.202692,17.873887
Argentina,ARG,AME,38,94,-38.416097,-63.616672
Armenia,ARM,ECA,46,63,40.069099,45.038189
Australia,AUS,AP,75,13,-25.274398,133.775136
Austria,AUT,WE/EU,71,22,47.516231,14.550072
Azerbaijan,AZE,ECA,23,157,40.143105,47.576927
Bahamas,BHS,AME,64,30,25.03428,-77.39628
Bahrain,BHR,MENA,44,69,25.930414,50.637772
Bangladesh,BGD,AP,25,147,23.684994,90.356331
Barbados,BRB,AME,65,29,13.193887,-59.543198
Belarus,BLR,ECA,39,91,53.709807,27.953389
Belgium,BEL,WE/EU,73,18,50.503887,4.469936
Benin,BEN,SSA,43,72,9.30769,2.315834
Bhutan,BTN,AP,68,25,27.514162,90.433601
Bolivia,BOL,AME,31,126,-16.290154,-63.588653
Bosnia and Herzegovina,BIH,ECA,34,110,43.915886,17.679076
Botswana,BWA,SSA,60,35,-22.328474,24.684866
Brazil,BRA,AME,38,94,-14.235004,-51.92528
Bulgaria,BGR,WE/EU,43,72,42.733883,25.48583
Burkina Faso,BFA,SSA,42,77,12.238333,-1.561593
Burundi,BDI,SSA,17,171,-3.373056,29.918886
Cabo Verde,CPV,SSA,60,35,16.002082,-24.013197
Cambodia,KHM,AP,24,150,12.565679,104.990963
Cameroon,CMR,SSA,26,142,7.369722,12.354722
Canada,CAN,AME,74,14,56.130366,-106.346771
Central African Republic,CAF,SSA,24,150,6.611111,20.939444
Chad,TCD,SSA,19,167,15.454166,18.732207
Chile,CHL,AME,67,27,-35.675147,-71.542969
China,CHN,AP,45,65,35.86166,104.195397
Colombia,COL,AME,39,91,4.570868,-74.297333
Comoros,COM,SSA,19,167,-11.875001,43.872219
Congo,COG,SSA,21,164,-0.228021,15.827659
Costa Rica,CRI,AME,54,48,9.748917,-83.753428
Cote d'Ivoire,CIV,SSA,37,99,7.539989,-5.54708
Croatia,HRV,WE/EU,50,57,45.1,15.2
Cuba,CUB,AME,45,65,21.521757,-77.781167
Cyprus,CYP,WE/EU,52,51,35.126413,33.429859
Czechia,CZE,WE/EU,56,41,49.817492,15.472962
Democratic Republic of the Congo,COD,SSA,20,166,-4.038333,21.758664
Denmark,DNK,WE/EU,90,1,56.26392,9.501785
Djibouti,DJI,SSA,30,130,11.825138,42.590275
Dominica,DMA,AME,55,45,15.414999,-61.370976
Dominican Republic,DOM,AME,32,123,18.735693,-70.162651
Ecuador,ECU,AME,36,101,-1.831239,-78.183406
Egypt,EGY,MENA,30,130,26.820553,30.802498
El Salvador,SLV,AME,33,116,13.794185,-88.89653
Equatorial Guinea,GNQ,SSA,17,171,1.650801,10.267895
Eritrea,ERI,SSA,22,162,15.179384,39.782334
Estonia,EST,WE/EU,74,14,58.595272,25.013607
Eswatini,SWZ,SSA,30,130,-26.522503,31.465866
Ethiopia,ETH,SSA,38,94,9.145,40.489673
Fiji,FJI,AP,53,49,-16.578193,179.414413
Finland,FIN,WE/EU,87,2,61.92411,25.748151
France,FRA,WE/EU,72,21,46.227638,2.213749
Gabon,GAB,SSA,29,136,-0.803689,11.609444
Gambia,GMB,SSA,34,110,13.443182,-15.310139
Georgia,GEO,ECA,56,41,42.315407,43.356892
Germany,DEU,WE/EU,79,9,51.165691,10.451526
Ghana,GHA,SSA,43,72,7.946527,-1.023194
Greece,GRC,WE/EU,52,51,39.074208,21.824312
Grenada,GRD,AME,52,51,12.262776,-61.604171
Guatemala,GTM,AME,24,150,15.783471,-90.230759
Guinea,GIN,SSA,25,147,9.945587,-9.696645
Guinea Bissau,GNB,SSA,21,164,11.803749,-15.180413
Guyana,GUY,AME,40,85,4.860416,-58.93018
Haiti,HTI,AME,17,171,18.971187,-72.285215
Honduras,HND,AME,23,157,15.199999,-86.241905
Hong Kong,HKG,AP,76,12,22.396428,114.109497
Hungary,HUN,WE/EU,42,77,47.162494,19.503304
Iceland,ISL,WE/EU,74,14,64.963051,-19.020835
India,IND,AP,40,85,20.593684,78.96288
Indonesia,IDN,AP,34,110,-0.789275,113.921327
Iran,IRN,MENA,25,147,32.427908,53.688046
Iraq,IRQ,MENA,23,157,33.223191,43.679291
Ireland,IRL,WE/EU,77,10,53.41291,-8.24389
Israel,ISR,MENA,63,31,31.046051,34.851612
Italy,ITA,WE/EU,56,41,41.87194,12.56738
Jamaica,JAM,AME,44,69,18.109581,-77.297508
Japan,JPN,AP,73,18,36.204824,138.252924
Jordan,JOR,MENA,47,61,30.585164,36.238414
Kazakhstan,KAZ,ECA,36,101,48.019573,66.923684
Kenya,KEN,SSA,32,123,-0.023559,37.906193
"Korea, North",PRK,AP,17,171,40.339852,127.510093
"Korea, South",KOR,AP,63,31,35.907757,127.766922
Kosovo,KSV,ECA,41,84,-22.95764,18.49041
Kuwait,KWT,MENA,42,77,29.31166,47.481766
Kyrgyzstan,KGZ,ECA,27,140,41.20438,74.766098
Laos,LAO,AP,31,126,19.85627,102.495496
Latvia,LVA,WE/EU,59,39,56.879635,24.603189
Lebanon,LBN,MENA,24,150,33.854721,35.862285
Lesotho,LSO,SSA,37,99,-29.609988,28.233608
Liberia,LBR,SSA,26,142,6.428055,-9.429499
Libya,LBY,MENA,17,171,26.3351,17.228331
Lithuania,LTU,WE/EU,62,33,55.169438,23.881275
Luxembourg,LUX,WE/EU,77,10,49.815273,6.129583
Madagascar,MDG,SSA,26,142,-18.766947,46.869107
Malawi,MWI,SSA,34,110,-13.254308,34.301525
Malaysia,MYS,AP,47,61,4.210484,101.975766
Maldives,MDV,AP,40,85,3.202778,73.22068
Mali,MLI,SSA,28,137,17.570692,-3.996166
Malta,MLT,WE/EU,51,54,35.937496,14.375416
Mauritania,MRT,SSA,30,130,21.00789,-10.940835
Mauritius,MUS,SSA,50,57,-20.348404,57.552152
Mexico,MEX,AME,31,126,23.634501,-102.552784
Moldova,MDA,ECA,39,91,47.411631,28.369885
Mongolia,MNG,AP,33,116,46.862496,103.846656
Montenegro,MNE,ECA,45,65,42.708678,19.37439
Morocco,MAR,MENA,38,94,31.791702,-7.09262
Mozambique,MOZ,SSA,26,142,-18.665695,35.529562
Myanmar,MMR,AP,23,157,21.913965,95.956223
Nepal,NPL,AP,34,110,28.394857,84.124008
Netherlands,NLD,WE/EU,80,8,52.132633,5.291266
New Zealand,NZL,AP,87,2,-40.900557,174.885971
Nicaragua,NIC,AME,19,167,12.865416,-85.207229
Niger,NER,SSA,32,123,17.607789,8.081666
Nigeria,NGA,SSA,24,150,9.081999,8.675277
North Macedonia,MKD,ECA,40,85,41.608635,21.745275
Norway,NOR,WE/EU,84,4,60.472024,8.468946
Oman,OMN,MENA,44,69,21.512583,55.923255
Pakistan,PAK,AP,27,140,30.375321,69.345116
Panama,PAN,AME,36,101,8.537981,-80.782127
Papua New Guinea,PNG,AP,30,130,-6.314993,143.95555
Paraguay,PRY,AME,28,137,-23.442503,-58.443832
Peru,PER,AME,36,101,-9.189967,-75.015152
Philippines,PHL,AP,33,116,12.879721,121.774017
Poland,POL,WE/EU,55,45,51.919438,19.145136
Portugal,PRT,WE/EU,62,33,39.399872,-8.224454
Qatar,QAT,MENA,58,40,25.354826,51.183884
Romania,ROU,WE/EU,46,63,45.943161,24.96676
Russia,RUS,ECA,28,137,61.52401,105.318756
Rwanda,RWA,SSA,51,54,-1.940278,29.873888
Saint Lucia,LCA,AME,55,45,13.909444,-60.978893
Saint Vincent and the Grenadines,VCT,AME,60,35,12.984305,-61.287228
Sao Tome and Principe,STP,SSA,45,65,0.18636,6.613081
Saudi Arabia,SAU,MENA,51,54,23.885942,45.079162
Senegal,SEN,SSA,43,72,14.497401,-14.452362
Serbia,SRB,ECA,36,101,44.016521,21.005859
Seychelles,SYC,SSA,70,23,-4.679574,55.491977
Sierra Leone,SLE,SSA,34,110,8.460555,-11.779889
Singapore,SGP,AP,83,5,1.352083,103.819836
Slovakia,SVK,WE/EU,53,49,48.669026,19.699024
Slovenia,SVN,WE/EU,56,41,46.151241,14.995463
Solomon Islands,SLB,AP,42,77,-9.64571,160.156194
Somalia,SOM,SSA,12,180,5.152149,46.199616
South Africa,ZAF,SSA,43,72,-30.559482,22.937506
Spain,ESP,WE/EU,60,35,40.463667,-3.74922
Sri Lanka,LKA,AP,36,101,7.873054,80.771797
Sudan,SDN,SSA,22,162,12.862807,30.217636
Suriname,SUR,AME,40,85,3.919305,-56.027783
Sweden,SWE,WE/EU,83,5,60.128161,18.643501
Switzerland,CHE,WE/EU,82,7,46.818188,8.227512
Syria,SYR,MENA,13,178,34.802075,38.996815
Taiwan,TWN,AP,68,25,23.69781,120.960515
Tajikistan,TJK,ECA,24,150,38.861034,71.276093
Tanzania,TZA,SSA,38,94,-6.369028,34.888822
Thailand,THA,AP,36,101,15.870032,100.992541
Timor-Leste,TLS,AP,42,77,-8.874217,125.727539
Togo,TGO,SSA,30,130,8.619543,0.824782
Trinidad and Tobago,TTO,AME,42,77,10.691803,-61.222503
Tunisia,TUN,MENA,40,85,33.886917,9.537499
Turkey,TUR,ECA,36,101,38.963745,35.243322
Turkmenistan,TKM,ECA,19,167,38.969719,59.556278
Uganda,UGA,SSA,26,142,1.373333,32.290275
Ukraine,UKR,ECA,33,116,48.379433,31.16558
United Arab Emirates,ARE,MENA,67,27,23.424076,53.847818
United Kingdom,GBR,WE/EU,73,18,55.378051,-3.435973
United States of America,USA,AME,69,24,37.09024,-95.712891
Uruguay,URY,AME,74,14,-32.522779,-55.765835
Uzbekistan,UZB,ECA,31,126,41.377491,64.585262
Vanuatu,VUT,AP,48,60,-15.376706,166.959158
Venezuela,VEN,AME,14,177,6.42375,-66.58973
Vietnam,VNM,AP,42,77,14.058324,108.277199
Yemen,YEM,MENA,16,176,15.552727,48.516388
Zambia,ZMB,SSA,33,116,-13.133897,27.849332
Zimbabwe,ZWE,SSA,23,157,-19.015438,29.154857
